course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,enrollment,rating,search_text
Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.2k,4200.0,4.5,architecting with google cloud platform 日本語版 google cloud intermediate
Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k,310000.0,4.7,architecting with google compute engine google cloud intermediate
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3.9k,3900.0,4.5,architecting with google kubernetes engine 日本語版 google cloud beginner
Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k,150000.0,4.9,arizona state university tesol arizona state university beginner
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79k,79000.0,4.8,art & activity: interactive strategies for engaging with art the museum of modern art mixed
Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31k,31000.0,4.8,art & ideas: teaching with themes the museum of modern art mixed
Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15k,15000.0,4.6,arts and culture strategy national arts strategies mixed
Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15k,15000.0,4.8,arts and heritage management università bocconi mixed
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10k,10000.0,4.9,aspectos básicos de la planificación y la gestión de proyectos university of virginia beginner
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66k,66000.0,4.7,astrobiology and the search for extraterrestrial life the university of edinburgh mixed
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33k,33000.0,4.8,atención primaria en salud: el desafío de las enfermedades no transmisibles pontificia universidad católica de chile intermediate
Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56k,56000.0,4.6,"autism spectrum disorder university of california, davis mixed"
Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7.3k,7300.0,4.8,autodesk cad/cam for manufacturing autodesk intermediate
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9.2k,9200.0,4.8,autodesk cad/cam/cae for mechanical engineering autodesk intermediate
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22k,22000.0,4.7,autodesk certified professional: autocad for design and drafting exam prep autodesk advanced
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9.7k,9700.0,4.7,autodesk certified professional: revit for architectural design exam prep autodesk advanced
BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13k,13000.0,4.6,bim fundamentals for engineers national taiwan university beginner
Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180k,180000.0,4.6,basic statistics university of amsterdam beginner
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91k,91000.0,4.8,"bayesian statistics: from concept to data analysis university of california, santa cruz intermediate"
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29k,29000.0,4.8,"bayesian statistics: techniques and models university of california, santa cruz intermediate"
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210k,210000.0,4.9,become a cbrs certified professional installer by google google - spectrum sharing mixed
Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28k,28000.0,4.7,become a journalist: report the news! michigan state university beginner
Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4.2k,4200.0,4.7,become a sustainable business change agent university of colorado system intermediate
Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6.5k,6500.0,4.7,becoming a sports agent case western reserve university beginner
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61k,61000.0,4.8,becoming a changemaker: introduction to social innovation university of cape town beginner
Behavioral Finance,Duke University,COURSE,4.4,Mixed,55k,55000.0,4.4,behavioral finance duke university mixed
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2.3k,2300.0,4.6,beyond the sustainable development goals (sdgs): addressing sustainability and development university of michigan mixed
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8.8k,8800.0,4.5,big data – introducción al uso práctico de datos masivos universitat autònoma de barcelona beginner
Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35k,35000.0,4.6,biohacking your brain's health emory university beginner
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88k,88000.0,4.4,biology meets programming: bioinformatics for beginners university of california san diego beginner
Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14k,14000.0,4.8,biostatistics in public health johns hopkins university beginner
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1.9k,1900.0,4.8,blended language learning: design and practice for teachers university of colorado boulder intermediate
Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68k,68000.0,4.6,blockchain university at buffalo intermediate
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,21k,21000.0,4.7,blockchain revolution insead beginner
Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1.6k,1600.0,4.6,blockchain revolution in financial services insead beginner
Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31k,31000.0,4.7,blockchain: foundations and use cases consensys academy beginner
Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9.5k,9500.0,4.9,boosting creativity for innovation hec paris beginner
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57k,57000.0,4.9,"brand management: aligning business, brand and behaviour london business school beginner"
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26k,26000.0,4.6,branding: the creative journey ie business school beginner
Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,84k,84000.0,4.7,"budgeting and scheduling projects university of california, irvine mixed"
Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15k,15000.0,4.9,bugs 101: insect-human interactions university of alberta beginner
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed,95k,95000.0,4.9,build a modern computer from first principles: from nand to tetris (project-centered course) hebrew university of jerusalem mixed
Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate,7.3k,7300.0,4.5,building batch data pipelines on gcp google cloud intermediate
Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner,22k,22000.0,4.5,building conversational experiences with dialogflow google cloud beginner
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,5.8k,5800.0,4.6,building resilient streaming analytics systems on gcp google cloud intermediate
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24k,24000.0,4.3,building scalable java microservices with spring boot and spring cloud google cloud intermediate
Building Your Leadership Skills,HEC Paris,COURSE,4.5,Mixed,67k,67000.0,4.5,building your leadership skills hec paris mixed
Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280k,280000.0,4.6,business analytics university of pennsylvania beginner
Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38k,38000.0,4.7,business english arizona state university intermediate
Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate,120k,120000.0,4.7,business english communication skills university of washington intermediate
Business English: Networking,University of Washington,COURSE,4.7,Intermediate,77k,77000.0,4.7,business english: networking university of washington intermediate
Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510k,510000.0,4.7,business foundations university of pennsylvania beginner
Business Model Innovation,HEC Paris,COURSE,4.7,Mixed,13k,13000.0,4.7,business model innovation hec paris mixed
Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner,110k,110000.0,4.7,business statistics and analysis rice university beginner
Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24k,24000.0,4.7,business strategies for a better world university of pennsylvania beginner
Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner,89k,89000.0,4.7,business strategy university of virginia beginner
Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,Beginner,67k,67000.0,4.5,business technology management indian school of business beginner
Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner,10k,10000.0,4.7,business transformation with google cloud google cloud beginner
Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,48k,48000.0,4.8,business writing university of colorado boulder beginner
Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160k,160000.0,4.5,business and financial modeling university of pennsylvania beginner
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,Beginner,31k,31000.0,4.5,"c for everyone: programming fundamentals university of california, santa cruz beginner"
C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,36k,36000.0,4.7,c# programming for unity game development university of colorado system beginner
COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,220k,220000.0,4.9,covid-19 contact tracing johns hopkins university beginner
COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,32k,32000.0,4.8,covid-19: what you need to know (cme eligible) osmosis beginner
"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Mixed,130k,130000.0,4.7,"cameras, exposure, and photography michigan state university mixed"
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,340k,340000.0,4.7,camino a la excelencia en gestión de proyectos pontificia universidad católica de chile beginner
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Mixed,82k,82000.0,4.6,"capstone: retrieving, processing, and visualizing data with python university of michigan mixed"
Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,790k,790000.0,4.4,"career success university of california, irvine beginner"
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,31k,31000.0,4.8,challenging forensic science: how science should speak to court university of lausanne beginner
Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,23k,23000.0,4.7,chemicals and health johns hopkins university beginner
Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Mixed,19k,19000.0,4.7,chicken behaviour and welfare the university of edinburgh mixed
Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,30k,30000.0,4.7,child nutrition and cooking stanford university beginner
Chinese for HSK 1,Peking University,COURSE,4.8,Beginner,22k,22000.0,4.8,chinese for hsk 1 peking university beginner
Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,57k,57000.0,4.7,cisco networking basics cisco beginner
Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed,51k,51000.0,4.8,classical sociological theory university of amsterdam mixed
Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,Beginner,51k,51000.0,4.8,claves de la dirección de empresas iese business school beginner
Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,Beginner,4.8k,4800.0,4.6,climate change and health: from science to action yale university beginner
Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,32k,32000.0,4.8,clinical terminology for international and u.s. students university of pittsburgh beginner
Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,110k,110000.0,4.4,cloud computing university of illinois at urbana-champaign intermediate
Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner,37k,37000.0,4.5,cloud computing basics (cloud 101) learnquest beginner
Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310k,310000.0,4.7,cloud engineering with google cloud google cloud intermediate
Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37k,37000.0,4.7,"coaching skills for managers university of california, davis intermediate"
Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,Beginner,120k,120000.0,4.7,code yourself! an introduction to programming the university of edinburgh beginner
Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,15k,15000.0,4.7,communication skills for engineers rice university beginner
Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,43k,43000.0,4.8,communication strategies for a virtual age university of toronto beginner
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner,6.4k,6400.0,4.9,compassionate leadership through service learning with jane goodall and roots & shoots university of colorado boulder beginner
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,43k,43000.0,4.7,"competencias digitales. herramientas de ofimática (microsoft word, excel, power point) universitat autònoma de barcelona beginner"
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350k,350000.0,4.7,competitive strategy and organization design ludwig-maximilians-universität münchen (lmu) intermediate
Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5.8k,5800.0,4.6,"computational social science university of california, davis beginner"
Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33k,33000.0,4.8,computational thinking for problem solving university of pennsylvania beginner
Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,27k,27000.0,4.6,computer security and systems management university of colorado system beginner
Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66k,66000.0,4.3,"conflict management university of california, irvine beginner"
Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19k,19000.0,4.7,construction cost estimating and cost control columbia university beginner
Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61k,61000.0,4.7,construction management columbia university beginner
Construction Project Management,Columbia University,COURSE,4.8,Beginner,43k,43000.0,4.8,construction project management columbia university beginner
Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15k,15000.0,4.8,construction scheduling columbia university beginner
Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,220k,220000.0,4.7,contabilidad para no contadores universidad nacional autónoma de méxico beginner
Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27k,27000.0,4.5,content strategy for professionals northwestern university beginner
Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26k,26000.0,4.6,continuous delivery & devops university of virginia beginner
Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,49k,49000.0,4.8,control of mobile robots georgia institute of technology mixed
Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,240k,240000.0,4.9,convolutional neural networks deeplearning.ai intermediate
Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46k,46000.0,4.7,convolutional neural networks in tensorflow deeplearning.ai intermediate
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10k,10000.0,4.8,corporate & commercial law i: contracts & employment law university of illinois at urbana-champaign intermediate
Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56k,56000.0,4.8,corporate finance essentials iese business school mixed
Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7.8k,7800.0,4.8,corporate strategy ucl school of management beginner
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,10k,10000.0,4.6,corporate sustainability. understanding and seizing the strategic opportunity università bocconi mixed
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75k,75000.0,4.6,"corrección, estilo y  variaciones de la lengua española universitat autònoma de barcelona beginner"
Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15k,15000.0,4.8,cost and economics in pricing strategy university of virginia beginner
Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43k,43000.0,4.8,costos para los negocios universidad de chile intermediate
Crash Course on Python,Google,COURSE,4.8,Beginner,81k,81000.0,4.8,crash course on python google beginner
Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,140k,140000.0,4.3,creative problem solving university of minnesota mixed
Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140k,140000.0,4.6,creative writing wesleyan university beginner
Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120k,120000.0,4.7,creative writing: the craft of plot wesleyan university mixed
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,150k,150000.0,4.7,"creatividad, diseño e innovación: técnicas y herramientas arizona state university beginner"
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26k,26000.0,4.8,cuidado de heridas en el ámbito hospitalario universidad nacional autónoma de méxico intermediate
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22k,22000.0,4.8,cuidados y procedimientos generales en la atención del recién nacido universidad de chile intermediate
Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17k,17000.0,4.6,culture-driven team building university of pennsylvania beginner
Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5.5k,5500.0,4.6,curanderismo: traditional healing using plants university of new mexico beginner
Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18k,18000.0,4.7,customer segmentation and prospecting northwestern university beginner
Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99k,99000.0,4.5,"cybersecurity university of maryland, college park intermediate"
Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,140k,140000.0,4.2,cybersecurity and its ten domains university system of georgia beginner
Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23k,23000.0,4.6,cybersecurity for business university of colorado system beginner
Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55k,55000.0,4.8,cómo hablar bien en público universitat autònoma de barcelona beginner
